Gene	SNPs	Traits	Tissues	Interactions	Mapped
ADSS	rs3003214	dementia__Alzheimer's_disease_neuropathologic_change	Muscle_Skeletal	cis	True
IFI27L1	rs7157940, rs1994969	body_weight__anthropometry, tooth_eruption	Testis, Skin_Not_Sun_Exposed_Suprapubic, Heart_Atrial_Appendage, Brain_Caudate_basal_ganglia, Artery_Tibial, Brain_Cerebellum, Esophagus_Muscularis, Liver, Pancreas, Nerve_Tibial, Colon_Sigmoid, Muscle_Skeletal, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Esophagus_Gastroesophageal_Junction, Cells_EBV-transformed_lymphocytes, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Artery_Aorta, Lung, Skin_Sun_Exposed_Lower_leg	both	False
ADSL	rs12159200	response_to_drug	Heart_Atrial_Appendage	cis	False
SAMD4B	rs562638	physical_activity	Testis	cis	True
AS3MT	rs7914558, rs11191580, rs11191454, rs17115100, rs11191560, rs12413409, rs11191548, rs4409766, rs2274351, rs12416687, rs3824755, rs7897654, rs7085104, rs10883832, rs1004467, rs9527, rs7917772	attention_deficit_hyperactivity_disorder__unipolar_depression__schizophrenia__autism_spectrum_disorder__bipolar_disorder, Parkinson's_disease, body_mass_index, brain_aneurysm, coronary_heart_disease, diastolic_blood_pressure, hypertension, inflammatory_bowel_disease, large_artery_stroke__coronary_heart_disease, mean_arterial_pressure, pulse_pressure_measurement, schizophrenia, systolic_blood_pressure, urinary_arsenic_measurement, waist-hip_ratio__body_mass_index	Thyroid, Skin_Not_Sun_Exposed_Suprapubic, Vagina, Whole_Blood, Breast_Mammary_Tissue, Pituitary, Adipose_Subcutaneous, Adrenal_Gland, Heart_Atrial_Appendage, Artery_Tibial, Brain_Cerebellum, Esophagus_Muscularis, Nerve_Tibial, Prostate, Muscle_Skeletal, Spleen, Colon_Sigmoid, Esophagus_Gastroesophageal_Junction, Brain_Cortex, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Uterus, Ovary, Artery_Coronary, Adipose_Visceral_Omentum, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Artery_Aorta, Lung, Skin_Sun_Exposed_Lower_leg, Pancreas, Small_Intestine_Terminal_Ileum, Brain_Hypothalamus, Brain_Caudate_basal_ganglia, Brain_Hippocampus, Brain_Frontal_Cortex_BA9, Brain_Anterior_cingulate_cortex_BA24	cis	False
C7orf10	rs1859156, rs174556, rs17730929, rs4379368	attention_deficit_hyperactivity_disorder, cis-trans-18:2_fatty_acid_measurement__trans_fatty_acid_measurement, colorectal_cancer, migraine_disorder	Small_Intestine_Terminal_Ileum, Brain_Cerebellar_Hemisphere, Brain_Putamen_basal_ganglia, Artery_Aorta	both	False
TIMMDC1	rs16829840	omega-6_polyunsaturated_fatty_acid_measurement	Lung	cis	False
SLX4	rs758747	body_mass_index	Brain_Cerebellum	cis	False
CTD-2235C13.3	rs10038095	total_cholesterol_measurement	Nerve_Tibial	cis	False
AZI1	rs9912789, rs9896850, rs2659005, rs2659030, rs9319617, rs2725391, rs906175, rs8073077, rs12939525, rs1048775, rs969413, rs2255166, rs10445407, rs7224668, rs2279913	Frontotemporal_dementia, longevity, serum_IgG_glycosylation_measurement	Stomach, Nerve_Tibial, Adipose_Subcutaneous, Lung, Skin_Sun_Exposed_Lower_leg, Artery_Tibial, Small_Intestine_Terminal_Ileum, Esophagus_Mucosa	cis	False
ZNF347	rs1133146	Yu-Zhi_constitution_type__type_II_diabetes_mellitus	Thyroid, Esophagus_Muscularis, Nerve_Tibial, Artery_Aorta	cis	True
ZNF346	rs365132, rs244731	age_at_menopause, urate_measurement__underweight_body_mass_index_status	Thyroid, Testis, Muscle_Skeletal	cis	False
ZNF433	rs3745672	multiple_sclerosis	Skin_Sun_Exposed_Lower_leg	cis	True
ZNF432	rs2288884, rs10411428, rs11666341, rs12460587	response_to_bronchodilator__asthma	Thyroid, Pituitary, Adrenal_Gland, Brain_Cerebellum, Esophagus_Muscularis, Liver, Nerve_Tibial, Adipose_Subcutaneous, Colon_Sigmoid, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Esophagus_Gastroesophageal_Junction, Adipose_Visceral_Omentum, Brain_Nucleus_accumbens_basal_ganglia, Artery_Aorta, Brain_Putamen_basal_ganglia, Lung	cis	False
ZNF438	rs793108	rheumatoid_arthritis	Testis	cis	False
DLL1	rs1028488	interferon_alpha_measurement__systemic_lupus_erythematosus	Muscle_Skeletal	cis	False
NUDT17	rs1967017, rs1471633	urate_measurement, urate_measurement__overweight_body_mass_index_status	Thyroid	cis	False
NUDT19	rs8101881, rs3892630	blood_metabolite_measurement, mean_corpuscular_volume, metabolite_measurement, urinary_metabolite_measurement	Cells_Transformed_fibroblasts, Liver, Nerve_Tibial, Artery_Tibial, Thyroid, Testis, Small_Intestine_Terminal_Ileum, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Breast_Mammary_Tissue, Pituitary, Adipose_Subcutaneous, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Colon_Transverse, Esophagus_Muscularis, Muscle_Skeletal, Pancreas, Spleen, Colon_Sigmoid, Brain_Anterior_cingulate_cortex_BA24, Esophagus_Gastroesophageal_Junction, Brain_Hypothalamus, Brain_Cortex, Heart_Left_Ventricle, Ovary, Artery_Coronary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Brain_Putamen_basal_ganglia, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
STX8	rs7200543	glycerophospholipid_measurement__blood_metabolite_measurement	Brain_Anterior_cingulate_cortex_BA24	trans	False
TM6SF2	rs10401193, rs1064395	body_height, bipolar_disorder	Thyroid, Brain_Cerebellum, Nerve_Tibial, Cells_Transformed_fibroblasts, Adipose_Subcutaneous, Artery_Aorta, Lung	cis	False
RSRC1	rs2362965	body_height	Thyroid, Skin_Not_Sun_Exposed_Suprapubic, Breast_Mammary_Tissue, Stomach, Artery_Tibial, Esophagus_Muscularis, Nerve_Tibial, Adipose_Subcutaneous, Adipose_Visceral_Omentum, Skin_Sun_Exposed_Lower_leg	cis	True
RTCB	rs12530	serum_IgG_glycosylation_measurement	Stomach, Artery_Tibial, Colon_Transverse, Skin_Sun_Exposed_Lower_leg	cis	True
STX2	rs7301826	tissue_plasminogen_activator_measurement	Thyroid, Testis, Small_Intestine_Terminal_Ileum, Skin_Not_Sun_Exposed_Suprapubic, Vagina, Whole_Blood, Breast_Mammary_Tissue, Ovary, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Artery_Tibial, Colon_Transverse, Esophagus_Muscularis, Liver, Nerve_Tibial, Prostate, Pancreas, Adipose_Subcutaneous, Spleen, Colon_Sigmoid, Muscle_Skeletal, Heart_Left_Ventricle, Cells_Transformed_fibroblasts, Uterus, Pituitary, Esophagus_Gastroesophageal_Junction, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Lung, Skin_Sun_Exposed_Lower_leg	cis	True
STX4	rs11865038, rs13708	Parkinson's_disease, psoriasis	Thyroid, Testis, Nerve_Tibial, Brain_Frontal_Cortex_BA9, Breast_Mammary_Tissue, Colon_Transverse, Brain_Cerebellum, Esophagus_Muscularis, Muscle_Skeletal, Brain_Anterior_cingulate_cortex_BA24, Cells_EBV-transformed_lymphocytes, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Brain_Caudate_basal_ganglia, Spleen	cis	False
STX6	rs1411478, rs8113308	Progressive_supranuclear_palsy, survival_time__estrogen-receptor_positive_breast_cancer__breast_carcinoma__response_to_endocrine_therapy	Brain_Caudate_basal_ganglia, Brain_Nucleus_accumbens_basal_ganglia, Brain_Putamen_basal_ganglia, Artery_Coronary	both	False
CPN1	rs11599750, rs11597390	body_height, liver_enzyme_measurement__serum_alanine_aminotransferase_measurement	Testis	cis	False
SLC4A11	rs7270101	Chronic_Hepatitis_C_infection	Thyroid, Pancreas	cis	False
RP11-448G15.3	rs4481233	metabolite_measurement	Lung	cis	False
RP11-448G15.1	rs938554, rs16868246, rs4481233, rs7680126, rs6449213	blood_metabolite_measurement, metabolite_measurement, obese_body_mass_index_status__urate_measurement, urate_measurement__overweight_body_mass_index_status, urate_measurement__underweight_body_mass_index_status, uric_acid_measurement	Muscle_Skeletal, Cells_EBV-transformed_lymphocytes	cis	False
STAB2	rs4964805	attention_deficit_hyperactivity_disorder	Esophagus_Muscularis, Colon_Sigmoid, Artery_Tibial, Artery_Aorta	cis	False
RP11-347E10.1	rs7945071	cognition	Adrenal_Gland	cis	False
TRMT2A	rs1974653	schizophrenia	Brain_Cerebellum	cis	False
PRSS16	rs16897515, rs13194053, rs6932590	schizophrenia	Brain_Cerebellum, Brain_Cerebellar_Hemisphere, Thyroid, Adrenal_Gland, Nerve_Tibial, Brain_Cortex, Ovary, Artery_Aorta, Skin_Sun_Exposed_Lower_leg	cis	False
ACSF2	rs6504663	visceral_adipose_tissue_measurement	Heart_Left_Ventricle	cis	False
NBPF18P	rs10494270, rs6685187, rs12566232, rs3124314, rs10788817, rs3007711	acylcarnitine_measurement__blood_metabolite_measurement, blood_metabolite_measurement, hair_morphology, serum_metabolite_measurement, skin_conductance_level__electrodermal_activity_measurement	Nerve_Tibial	cis	False
RPS6KL1	rs910316, rs8014204, rs722599	body_height, coffee_consumption, serum_IgG_glycosylation_measurement	Thyroid, Nerve_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Adrenal_Gland, Cells_Transformed_fibroblasts, Adipose_Subcutaneous, Artery_Tibial, Artery_Coronary, Adipose_Visceral_Omentum, Artery_Aorta, Skin_Sun_Exposed_Lower_leg, Whole_Blood, Esophagus_Muscularis, Prostate, Pancreas, Lung, Esophagus_Mucosa	cis	False
ARHGAP42	rs633185	diastolic_blood_pressure, hypertension, mean_arterial_pressure, systolic_blood_pressure	Artery_Aorta, Adipose_Subcutaneous, Artery_Tibial, Heart_Left_Ventricle, Artery_Coronary	cis	True
RP11-10N23.5	rs6471393	HIV-1_infection__response_to_efavirenz__virologic_response_measurement	Testis	cis	False
NLGN1	rs1171616	acylcarnitine_measurement__blood_metabolite_measurement	Skin_Not_Sun_Exposed_Suprapubic	trans	False
HIAT1	rs1571500	dental_caries	Ovary	trans	False
EVC2	rs6474359	A1C_measurement	Brain_Frontal_Cortex_BA9	trans	False
SPTY2D1-AS1	rs10128711	total_cholesterol_measurement	Cells_Transformed_fibroblasts	cis	False
RP5-1166F10.1	rs239339	urinary_metabolite_measurement	Testis	cis	False
ZBED3	rs1382879, rs6885099	thyroid_stimulating_hormone_measurement	Thyroid	cis	False
TNNT3	rs3817198, rs909116	breast_carcinoma, dense_area_measurement__mammographic_density_measurement	Skin_Not_Sun_Exposed_Suprapubic	cis	False
CELSR2	rs646776, rs602633, rs599839, rs6657811, rs12740374, rs7528419, rs629301, rs660240	coronary_heart_disease, high_density_lipoprotein_cholesterol_measurement, large_artery_stroke__coronary_heart_disease, lipid_measurement, lipoprotein-associated_phospholipase_A(2)_measurement, low_density_lipoprotein_cholesterol_measurement, myocardial_infarction, progranulin_measurement, response_to_statin, stroke__coronary_heart_disease, total_cholesterol_measurement	Liver, Pancreas, Muscle_Skeletal, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Brain_Cerebellum, Prostate	cis	True
TCP11	rs9368849, rs13210323, rs6919534, rs2206030	airway_responsiveness_measurement__chronic_obstructive_pulmonary_disease, body_height, FEV-FEC_ratio	Testis, Adipose_Subcutaneous, Lung, Skin_Sun_Exposed_Lower_leg, Heart_Atrial_Appendage, Adipose_Visceral_Omentum	cis	False
RP11-69I8.3	rs10499194	rheumatoid_arthritis	Prostate	trans	False
TBKBP1	rs4794202, rs7206971, rs7209700, rs11651000, rs12950390	Alzheimers_disease, low_density_lipoprotein_cholesterol_measurement, serum_IgG_glycosylation_measurement, total_cholesterol_measurement	Lung, Thyroid, Testis, Small_Intestine_Terminal_Ileum, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Adrenal_Gland, Heart_Atrial_Appendage, Artery_Tibial, Nerve_Tibial, Adipose_Subcutaneous, Spleen, Cells_Transformed_fibroblasts, Ovary, Cells_EBV-transformed_lymphocytes, Artery_Coronary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Skin_Sun_Exposed_Lower_leg, Liver	cis	False
WFIKKN1	rs763014, rs2017567, rs7204439	body_height, lumbar_disc_degeneration	Thyroid, Testis, Small_Intestine_Terminal_Ileum, Brain_Frontal_Cortex_BA9, Skin_Not_Sun_Exposed_Suprapubic, Vagina, Whole_Blood, Breast_Mammary_Tissue, Ovary, Adipose_Subcutaneous, Adrenal_Gland, Heart_Atrial_Appendage, Stomach, Brain_Caudate_basal_ganglia, Artery_Tibial, Colon_Transverse, Brain_Cerebellum, Esophagus_Muscularis, Liver, Muscle_Skeletal, Prostate, Pancreas, Nerve_Tibial, Spleen, Colon_Sigmoid, Esophagus_Gastroesophageal_Junction, Brain_Hypothalamus, Brain_Cortex, Heart_Left_Ventricle, Pituitary, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Lung, Skin_Sun_Exposed_Lower_leg	cis	False
FEZ1	rs7930295	schizophrenia	Testis, Artery_Aorta	cis	False
ABI1	rs7200543	glycerophospholipid_measurement__blood_metabolite_measurement	Prostate	trans	False
RP11-328D5.1	rs1967689, rs1318653, rs11578508, rs2745967	age-related_macular_degeneration, MMR-related_febrile_seizures, febrile_seizures__MMR-related_febrile_seizures, heart_rate, resting_heart_rate	Testis	cis	False
ACADVL	rs507506, rs5415	adiponectin_measurement, birth_weight	Whole_Blood, Artery_Tibial, Nerve_Tibial, Adipose_Subcutaneous, Cells_EBV-transformed_lymphocytes, Artery_Aorta, Lung	cis	False
RAB4B	rs28493229, rs2233152, rs3733829	mucocutaneous_lymph_node_syndrome, smoking_behavior	Colon_Transverse, Testis, Skin_Not_Sun_Exposed_Suprapubic	cis	False
NCR3LG1	rs1330, rs1557765, rs11024102, rs2008905, rs5219, rs5215	body_height, body_mass_index, glaucoma, schizophrenia, social_communication_impairment, type_II_diabetes_mellitus	Artery_Tibial, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Thyroid, Nerve_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Breast_Mammary_Tissue, Cells_Transformed_fibroblasts, Adipose_Subcutaneous	cis	False
SLC22A5	rs270602, rs270601, rs10058074, rs274546, rs2073643, rs11745587, rs3091338, rs6596075, rs2188962, rs12521868, rs17622378, rs20541, rs419291, rs272889, rs273914, rs274567, rs7727544, rs2405522, rs11950562, rs272869, rs1016988, rs2522056, rs2106854, rs56399423, rs274557, rs2070729, rs657075, rs7731390	acylcarnitine_measurement__blood_metabolite_measurement, body_height, asthma, Crohn's_disease, Hodgkins_lymphoma, blood_metabolite_measurement, fibrinogen_measurement, inflammatory_bowel_disease, metabolite_measurement, omega-6_polyunsaturated_fatty_acid_measurement, platelet_count, psoriasis, rheumatoid_arthritis, serum_IgG_glycosylation_measurement, ulcerative_colitis	Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Breast_Mammary_Tissue, Brain_Cerebellum, Cells_Transformed_fibroblasts, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg, Small_Intestine_Terminal_Ileum, Adipose_Subcutaneous, Stomach, Thyroid, Colon_Transverse, Nerve_Tibial, Spleen, Artery_Tibial, Cells_EBV-transformed_lymphocytes, Adipose_Visceral_Omentum, Muscle_Skeletal, Brain_Putamen_basal_ganglia	cis	False
CHN2	rs11979158, rs10275663, rs245880	central_nervous_system_cancer, diastolic_blood_pressure__cigarettes_per_day_measurement, response_to_anticoagulant	Adipose_Visceral_Omentum, Artery_Coronary, Whole_Blood	both	True
PKDCC	rs7584262	bone_density	Brain_Cerebellar_Hemisphere	cis	False
IL27	rs26528, rs7359397, rs2650492, rs4788084	Crohn's_disease, body_mass_index, inflammatory_bowel_disease, type_I_diabetes_mellitus, type_I_diabetes_mellitus__autoantibody_measurement, ulcerative_colitis	Testis, Liver	cis	True
CAV2	rs7802124, rs9920, rs10258482, rs12530845, rs4236601	PR_interval__Trypanosoma_cruzi_seropositivity, QT_interval, intraocular_pressure_measurement, mean_corpuscular_hemoglobin, open-angle_glaucoma	Testis, Pancreas, Adrenal_Gland, Breast_Mammary_Tissue	both	False
CAV1	rs9920, rs10258482, rs4236601	QT_interval, intraocular_pressure_measurement, open-angle_glaucoma	Adipose_Subcutaneous, Pancreas	cis	False
TSC1	rs1076160	psoriasis	Thyroid	cis	True
IL12RB1	rs7025162	alkaline_phosphatase_measurement	Vagina	trans	False
IL12RB2	rs3790567, rs1343151	biliary_liver_cirrhosis, Crohn's_disease	Whole_Blood, Cells_Transformed_fibroblasts, Esophagus_Mucosa	cis	False
RP3-337O18.9	rs4810479, rs7679	coronary_artery_calcification, high_density_lipoprotein_cholesterol_measurement, triglyceride_measurement	Adipose_Visceral_Omentum	cis	False
RP11-326I11.4	rs2716816	breast_size__breast_carcinoma	Vagina	trans	False
ZNRD1-AS1	rs2523989	autoimmune_thyroid_disease__type_I_diabetes_mellitus	Skin_Sun_Exposed_Lower_leg, Nerve_Tibial, Artery_Tibial	cis	False
AHRR	rs7726839	high_density_lipoprotein_cholesterol_measurement	Pituitary, Artery_Tibial	cis	False
AC009228.1	rs1530016, rs35832626, rs60490158, rs11680810	body_mass_index, sitting_height_ratio	Esophagus_Gastroesophageal_Junction, Testis, Colon_Sigmoid, Adipose_Visceral_Omentum, Artery_Aorta	cis	False
ADCY4	rs1950500, rs4280164	body_height, language_impairment	Adipose_Visceral_Omentum, Esophagus_Mucosa, Thyroid, Nerve_Tibial, Adipose_Subcutaneous, Muscle_Skeletal	cis	False
ADCY5	rs2124499	body_mass_index	Uterus	cis	True
ADCY7	rs16948876	leprosy	Artery_Tibial	cis	False
AC027601.1	rs9319617, rs2725391, rs8073077, rs12939525, rs1048775, rs969413, rs2279913	Frontotemporal_dementia, serum_IgG_glycosylation_measurement	Thyroid, Testis, Spleen	cis	False
ADCY3	rs11895026, rs4665736, rs6733301, rs13428823, rs13407913, rs10182181, rs713587, rs11676272, rs1530016, rs7586879, rs713586, rs2033654, rs6545814, rs10205487, rs6545800, rs1172294, rs141216273, rs2165738, rs478222	body_height, Crohn's_disease, body_mass_index, carotid_plaque_build, height-adjusted_body_mass_index, inflammatory_bowel_disease, obesity, puberty__height_growth_measurement, schizophrenia, type_I_diabetes_mellitus, ulcerative_colitis	Artery_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Nerve_Tibial, Cells_EBV-transformed_lymphocytes, Brain_Frontal_Cortex_BA9, Adipose_Subcutaneous, Adipose_Visceral_Omentum, Skin_Sun_Exposed_Lower_leg, Small_Intestine_Terminal_Ileum	both	True
KIF24	rs216345	bipolar_disorder	Adipose_Visceral_Omentum	cis	False
SECTM1	rs9303029, rs3751913	insulin_like_growth_factor_measurement, neoplasm_of_mature_B-cells	Adipose_Subcutaneous	cis	False
RBBP5	rs1668873, rs16937	mean_platelet_volume, schizophrenia	Cells_Transformed_fibroblasts, Thyroid, Brain_Frontal_Cortex_BA9, Artery_Tibial, Nerve_Tibial, Brain_Nucleus_accumbens_basal_ganglia	cis	False
JKAMP	rs111803315	schizophrenia	Breast_Mammary_Tissue, Adipose_Subcutaneous, Stomach, Artery_Tibial, Colon_Transverse, Pancreas, Esophagus_Gastroesophageal_Junction, Esophagus_Mucosa, Artery_Aorta, Skin_Sun_Exposed_Lower_leg	cis	True
RAB43	rs16933829	HIV-1_infection__response_to_efavirenz__virologic_response_measurement, HIV-1_infection__virologic_response_measurement__response_to_abacavir	Skin_Not_Sun_Exposed_Suprapubic	trans	False
NUCKS1	rs951366, rs823094, rs4077468, rs823156, rs823114, rs823118, rs947211, rs1775154, rs1775148, rs6679073, rs74546197	age_at_menarche, body_height, Cystic_fibrosis__type_II_diabetes_mellitus, Parkinson's_disease, QT_interval, prostate_carcinoma, prostate_specific_antigen_measurement, unipolar_depression__response_to_selective_serotonin_reuptake_inhibitor	Thyroid, Testis, Skin_Not_Sun_Exposed_Suprapubic, Whole_Blood, Pituitary, Heart_Atrial_Appendage, Stomach, Esophagus_Muscularis, Nerve_Tibial, Pancreas, Adipose_Subcutaneous, Colon_Sigmoid, Heart_Left_Ventricle, Esophagus_Gastroesophageal_Junction, Adipose_Visceral_Omentum, Esophagus_Mucosa, Artery_Aorta, Lung, Skin_Sun_Exposed_Lower_leg, Breast_Mammary_Tissue, Adrenal_Gland, Brain_Caudate_basal_ganglia, Artery_Tibial, Brain_Cerebellum, Spleen, Brain_Anterior_cingulate_cortex_BA24, Muscle_Skeletal, Brain_Hippocampus, Brain_Putamen_basal_ganglia, Brain_Frontal_Cortex_BA9, Prostate, Cells_EBV-transformed_lymphocytes, Brain_Nucleus_accumbens_basal_ganglia	cis	False
AC064852.5	rs6704768	schizophrenia	Testis	cis	False
NR3C1	rs153750, rs3776331	body_height, uric_acid_measurement	Brain_Cerebellar_Hemisphere, Cells_Transformed_fibroblasts	both	False
FAM208A	rs9835332, rs6773931, rs4681767, rs6445797, rs12485738	body_height, attention_deficit_hyperactivity_disorder__attention_function_measurement, gastritis, mean_platelet_volume	Skin_Not_Sun_Exposed_Suprapubic, Cells_Transformed_fibroblasts, Adipose_Subcutaneous, Artery_Tibial, Adipose_Visceral_Omentum, Brain_Cerebellar_Hemisphere, Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg, Thyroid	cis	False
DDI2	rs2901964	response_to_radiation__prostate_carcinoma__erectile_dysfunction	Cells_Transformed_fibroblasts	cis	False
DCLK1	rs2062305, rs9594738, rs8001611, rs9533090, rs17689882	Crohn's_disease, bone_density, intra_cranial_volume	Nerve_Tibial, Colon_Sigmoid	trans	False
AC073094.4	rs10277115, rs10275044	renal_system_measurement, renal_system_measurement__blood_urea_nitrogen_measurement	Testis	cis	False
PTPLAD2	rs7867456	axial_length_measurement	Skin_Not_Sun_Exposed_Suprapubic, Cells_Transformed_fibroblasts, Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg	cis	False
SKAP1	rs9303542, rs6504108, rs8176749, rs6504340, rs2084881, rs112208829, rs8176743	Malignant_epithelial_tumor_of_ovary, body_mass_index, cancer_biomarker_measurement, coagulation_factor_measurement, odontogenesis, ovarian_carcinoma, smoking_behavior__3-hydroxy-1-methylpropylmercapturic_acid_measurement, urinary_metabolite_measurement, von_Willebrand_factor_measurement	Nerve_Tibial, Pancreas, Artery_Aorta, Small_Intestine_Terminal_Ileum	both	False
C12orf4	rs888468	response_to_cytosine_arabinoside	Artery_Tibial	cis	False
LRRC36	rs1805007	freckles, skin_pigmentation, skin_sensitivity_to_sun, sunburn	Brain_Hypothalamus	trans	False
SPATA2	rs7352944, rs2235617, rs495337	psoriasis	Skin_Sun_Exposed_Lower_leg, Skin_Not_Sun_Exposed_Suprapubic	cis	True
XRCC1	rs12611088	plasma_beta-amyloid_1-42_measurement	Testis, Pancreas	cis	True
XRCC3	rs4144027, rs709400	blood_metabolite_measurement, body_mass_index	Whole_Blood, Adipose_Subcutaneous, Spleen, Cells_Transformed_fibroblasts, Skin_Sun_Exposed_Lower_leg, Artery_Coronary	cis	False
HOXB-AS1	rs9303542, rs9299, rs6504340	Malignant_epithelial_tumor_of_ovary, obesity, odontogenesis, ovarian_carcinoma	Whole_Blood, Skin_Not_Sun_Exposed_Suprapubic, Brain_Cerebellum, Muscle_Skeletal, Adipose_Subcutaneous, Spleen, Lung	cis	False
XRCC4	rs2176040, rs6452524, rs6887846	body_mass_index, hypertension	Prostate, Testis, Brain_Nucleus_accumbens_basal_ganglia	both	False
PDLIM1	rs11599218	schizophrenia	Artery_Tibial	trans	False
SMURF1	rs7792939	body_weight__anthropometry	Cells_Transformed_fibroblasts	cis	False
CLEC7A	rs35412	skin_pigmentation	Testis	trans	False
MEIS2	rs3110496	body_height	Liver	trans	False
MEIS1	rs11897119, rs3891585, rs10865355	PR_interval	Brain_Caudate_basal_ganglia	cis	True
AC006547.14	rs1974653	schizophrenia	Testis, Adipose_Visceral_Omentum	cis	False
NARF	rs4362, rs9303029, rs3751913	blood_metabolite_measurement, insulin_like_growth_factor_measurement, neoplasm_of_mature_B-cells	Heart_Atrial_Appendage, Thyroid, Brain_Caudate_basal_ganglia, Muscle_Skeletal, Cells_Transformed_fibroblasts, Cells_EBV-transformed_lymphocytes, Brain_Nucleus_accumbens_basal_ganglia, Esophagus_Mucosa, Artery_Aorta, Lung, Vagina, Adipose_Subcutaneous	both	False
AC006547.13	rs1974653	schizophrenia	Esophagus_Muscularis, Artery_Aorta	cis	False
CTLA4	rs1024161, rs231770, rs231779, rs3087243	alopecia_areata, Graves_disease, Myasthenia_gravis, hypothyroidism, rheumatoid_arthritis, type_I_diabetes_mellitus, type_I_diabetes_mellitus__autoantibody_measurement	Testis	cis	False
TFR2	rs7385804, rs2075672, rs2075671, rs7786877	erythrocyte_count, hematocrit, iron_biomarker_measurement__serum_iron_measurement, iron_biomarker_measurement__transferrin_saturation_measurement, mean_corpuscular_volume, serum_iron_measurement	Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Adipose_Visceral_Omentum	cis	True
RP1-151B14.9	rs13053175	longevity	Cells_EBV-transformed_lymphocytes	cis	False
RP1-151B14.6	rs229526, rs13053175, rs2160908	hypothyroidism, longevity, parasitemia_measurement__Trypanosoma_cruzi_seropositivity	Thyroid, Nerve_Tibial, Brain_Caudate_basal_ganglia, Skin_Not_Sun_Exposed_Suprapubic, Muscle_Skeletal, Whole_Blood, Testis, Colon_Transverse, Brain_Frontal_Cortex_BA9	cis	False
MIER2	rs6510725	non-small_cell_lung_carcinoma	Esophagus_Mucosa	cis	False
RALGPS1	rs2315504, rs1440581, rs174546, rs174547, rs11790388	body_height, blood_metabolite_measurement, cis-trans-18:2_fatty_acid_measurement__trans_fatty_acid_measurement, comprehensive_strength_index__muscle_measurement, glycerophospholipid_measurement__blood_metabolite_measurement, metabolite_measurement, schizophrenia, sphingolipid_measurement__blood_metabolite_measurement	Adipose_Visceral_Omentum, Artery_Aorta, Heart_Left_Ventricle, Testis, Whole_Blood	both	False
RSL1D1	rs10852344	age_at_menopause	Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg	cis	False
RP11-297B17.3	rs3824344	intelligence	Spleen	cis	False
PAPD4	rs6859704	serum_IgG_glycosylation_measurement	Thyroid, Small_Intestine_Terminal_Ileum, Nerve_Tibial, Skin_Not_Sun_Exposed_Suprapubic, Stomach, Colon_Transverse, Esophagus_Muscularis, Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg	cis	True
AC012146.7	rs1000940	body_mass_index	Testis, Adipose_Subcutaneous	cis	False
RP11-770E5.1	rs7011507	inflammatory_bowel_disease	Cells_Transformed_fibroblasts	cis	False
CAAP1	rs10967586, rs7045881, rs1577330	schizophrenia, serum_IgG_glycosylation_measurement	Thyroid, Artery_Aorta, Adipose_Subcutaneous, Artery_Tibial, Heart_Left_Ventricle, Heart_Atrial_Appendage, Nerve_Tibial, Muscle_Skeletal, Artery_Coronary	cis	False
TOLLIP	rs5743890	idiopathic_pulmonary_fibrosis	Nerve_Tibial, Stomach, Pancreas	cis	True
RP11-44F21.5	rs1426063	QT_interval	Pituitary, Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg	cis	False
CD276	rs8038465	serum_gamma-glutamyl_transferase_measurement	Heart_Atrial_Appendage, Liver, Brain_Putamen_basal_ganglia	cis	True
